Country,First Opening,country_code,outlets_per_mil,num_outlets,lat,long
USA,5/15/1940,USA,40.807,13375,37.98,-87.54
USA,5/15/1940,USA,40.807,13375,47.96,-122.2
USA,5/15/1940,USA,40.807,13375,38.25,-122.04
USA,5/15/1940,USA,40.807,13375,39.33,-84.54
USA,5/15/1940,USA,40.807,13375,41.13,-73.26
USA,5/15/1940,USA,40.807,13375,41.71,-71.11
USA,5/15/1940,USA,40.807,13375,41.55,-70.6
USA,5/15/1940,USA,40.807,13375,46.88,-96.82
USA,5/15/1940,USA,40.807,13375,36.75,-108.19
USA,5/15/1940,USA,40.807,13375,42.49,-83.38
USA,5/15/1940,USA,40.807,13375,35.07,-78.9
USA,5/15/1940,USA,40.807,13375,36.07,-94.16
USA,5/15/1940,USA,40.807,13375,47.31,-122.34
USA,5/15/1940,USA,40.807,13375,41.04,-83.64
USA,5/15/1940,USA,40.807,13375,39.95,-86.02
USA,5/15/1940,USA,40.807,13375,42.59,-71.82
USA,5/15/1940,USA,40.807,13375,35.19,-111.62
USA,5/15/1940,USA,40.807,13375,43.02,-83.69
USA,5/15/1940,USA,40.807,13375,33.97,-118.24
USA,5/15/1940,USA,40.807,13375,38.8,-90.32
USA,5/15/1940,USA,40.807,13375,33.03,-97.09
USA,5/15/1940,USA,40.807,13375,38.68,-121.15
USA,5/15/1940,USA,40.807,13375,43.77,-88.45
USA,5/15/1940,USA,40.807,13375,34.1,-117.46
USA,5/15/1940,USA,40.807,13375,40.56,-105.07
USA,5/15/1940,USA,40.807,13375,26.14,-80.14
USA,5/15/1940,USA,40.807,13375,26.63,-81.85
USA,5/15/1940,USA,40.807,13375,35.37,-94.38
USA,5/15/1940,USA,40.807,13375,41.07,-85.14
USA,5/15/1940,USA,40.807,13375,32.75,-97.34
USA,5/15/1940,USA,40.807,13375,33.71,-117.95
USA,5/15/1940,USA,40.807,13375,25.77,-80.35
USA,5/15/1940,USA,40.807,13375,42.31,-71.44
USA,5/15/1940,USA,40.807,13375,38.76,-77.15
USA,5/15/1940,USA,40.807,13375,35.93,-86.84
USA,5/15/1940,USA,40.807,13375,39.43,-77.42
USA,5/15/1940,USA,40.807,13375,40.65,-73.58
USA,5/15/1940,USA,40.807,13375,37.53,-122
USA,5/15/1940,USA,40.807,13375,36.78,-119.79
USA,5/15/1940,USA,40.807,13375,33.14,-96.81
